diseaseId	name	vocabulary	code	vocabularyName
C4022967	Hypothalamic luteinizing hormone-releasing hormone deficiency	HPO	HP:0012287	Hypothalamic luteinizing hormone-releasing hormone deficiency
C0018671	Head and Neck Neoplasms	HPO	HP:0012288	Head and neck cancer
C0278996	Cancer of Head and Neck	HPO	HP:0012288	Head and neck cancer
C0015461	Facial Neoplasms	HPO	HP:0012289	Facial neoplasm
C0026640	Mouth Neoplasms	HPO	HP:0012290	Mouth neoplasm
C4022962	Slender distal phalanx of finger	HPO	HP:0012296	Slender distal phalanx of finger
C4022961	Slender proximal phalanx of finger	HPO	HP:0012297	Slender proximal phalanx of finger
C4021865	Long distal phalanx of finger	HPO	HP:0012299	Long distal phalanx of finger
C4021094	Abnormal isoelectric focusing of serum transferrin (type 2 pattern)	HPO	HP:0012301	Abnormal isoelectric focusing of serum transferrin, type 2 pattern
C0276226	Herpes encephalitis	HPO	HP:0012302	Herpes simplex encephalitis
C3163801	Abnormality of aortic arch	HPO	HP:0012303	Abnormality of the aortic arch
C0265881	Congenital hypoplasia of aortic arch	HPO	HP:0012304	Hypoplastic aortic arch
C1856637	Spatulated ribs	HPO	HP:0012307	Spatulate ribs
C4021093	Decreased serum complement C9	HPO	HP:0012308	Decreased serum complement C9
C0268397	Amyloidosis, Primary Cutaneous	HPO	HP:0012309	Cutaneous amyloidosis
C0085702	Monocytosis	HPO	HP:0012311	Monocytosis
C0427544	Monocytopenia	HPO	HP:0012312	Monocytopenia
C0018862	Heberden's node	HPO	HP:0012313	Heberden's node
C1509147	Histiocytoma	HPO	HP:0012315	Histiocytoma
C0206643	Neoplasms, Fibrous Tissue	HPO	HP:0012316	Fibrous tissue neoplasm
C1833429	D-2-hydroxyglutaric aciduria	HPO	HP:0012321	D-2-hydroxyglutaric aciduria
C0263006	Perifolliculitis	HPO	HP:0012322	Perifolliculitis
C0023470	Myeloid Leukemia	HPO	HP:0012324	Myeloid leukemia
C0023480	Leukemia, Myelomonocytic, Chronic	HPO	HP:0012325	Chronic myelomonocytic leukemia
C0346073	Tufted angioma of skin	HPO	HP:0012329	Tufted angioma
C0034186	Pyelonephritis	HPO	HP:0012330	Pyelonephritis
C0005398	Cholestasis, Extrahepatic	HPO	HP:0012334	Extrahepatic cholestasis
C4022947	Decreased resting energy expenditure	HPO	HP:0012340	Decreased resting energy expenditure
C0344452	Microprolactinoma	HPO	HP:0012341	Microprolactinoma
C0344453	Macroprolactinoma	HPO	HP:0012342	Macroprolactinoma
C0241012	Serum ferritin decreased	HPO	HP:0012343	Decreased serum ferritin
C1527383	Morphea	HPO	HP:0012344	Morphea
C4022946	Abnormal glycosylation	HPO	HP:0012345	Abnormal glycosylation
C0268024	Hyperkalemia, diminished renal excretion	HPO	HP:0012364	Decreased urinary potassium
C1853241	Flat face	HPO	HP:0012368	Flat face
C0240309	Hyperplasia of midface	HPO	HP:0012371	Hypertrophy of midface
C0266541	Microphakia	HPO	HP:0012376	Microphakia
C0018979	Hemianopsia	HPO	HP:0012377	Hemianopia
C0015672	Fatigue	HPO	HP:0012378	Fatigue
C0035455	Rhinitis	HPO	HP:0012384	Rhinitis
C2718128	Nasal inflammation	HPO	HP:0012384	Rhinitis
C0685409	Congenital Camptodactyly	HPO	HP:0012385	Camptodactyly
C0006277	Bronchitis	HPO	HP:0012387	Bronchitis
C1836835	Hyporeflexia in the upper limbs	HPO	HP:0012391	Hyporeflexia of upper limbs
C1527304	Allergic Reaction	HPO	HP:0012393	Allergy
C0018621	Hay fever	HPO	HP:0012395	Seasonal allergy
C0155733	Atherosclerosis of aorta	HPO	HP:0012397	Plaque build-up in aorta artery
C0085649	Peripheral edema	HPO	HP:0012398	Peripheral edema
C0011127	Pressure Ulcer	HPO	HP:0012399	Pressure ulcer
C4020902	Abnormal urine alpha-ketoglutarate concentration	HPO	HP:0012401	Abnormal urine alpha-ketoglutarate concentration
C2673444	Hypocitraturia	HPO	HP:0012405	Hypocitraturia
C0231698	Gait, Scissors	HPO	HP:0012407	Scissor gait
C0403477	Medullary nephrocalcinosis	HPO	HP:0012408	Medullary nephrocalcinosis
C0034902	Pure Red-Cell Aplasia	HPO	HP:0012410	Pure red cell aplasia
C0342541	Precocious pubarche	HPO	HP:0012411	Premature pubarche
C0342546	Premature adrenarche	HPO	HP:0012412	Premature adrenarche
C0020440	Hypercapnia	HPO	HP:0012416	Hypercapnia
C0700292	Hypoxemia	HPO	HP:0012418	Hypoxemia
C1257861	Colonic Inertia	HPO	HP:0012423	Colonic inertia
C0008513	Chorioretinitis	HPO	HP:0012424	Chorioretinitis
C0267491	Ulceration of colon	HPO	HP:0012425	Colon ulcer
C0029128	Optic Disk Drusen	HPO	HP:0012426	Optic disc drusen
C0518656	chronic fatigue	HPO	HP:0012432	Chronic fatigue
C4021085	Abnormality of brain morphology	HPO	HP:0012443	Abnormality of brain morphology
C0154671	Degenerative brain disorder	HPO	HP:0012444	Brain atrophy
C0235946	Cerebral atrophy	HPO	HP:0012444	Brain atrophy
C2751584	Neurodegeneration Due To Cerebral Folate Transport Deficiency	HPO	HP:0012446	Cerebral folate deficiency
C1857704	Abnormal myelination	HPO	HP:0012447	Abnormal myelination
C1277241	Delayed myelination	HPO	HP:0012448	Delayed myelination
C0401149	Chronic constipation	HPO	HP:0012450	Chronic constipation
C0035258	Restless Legs Syndrome	HPO	HP:0012452	Restless legs syndrome
C4022897	Large artery calcification	HPO	HP:0012455	Large artery calcification
C0004659	Bacteriuria	HPO	HP:0012461	Bacteriuria
C1860972	GENIOSPASM 1	HPO	HP:0012462	Chin spasms
C0919785	Transferrin saturation decreased	HPO	HP:0012464	Decreased transferrin saturation
C4022891	Liver iron concentration increased	HPO	HP:0012465	Elevated hepatic iron concentration
C1735903	Chronic acidosis	HPO	HP:0012468	Chronic acidosis
C3887898	Infantile Spasm	HPO	HP:0012469	Infantile spasms
C1836543	Thick vermilion border	HPO	HP:0012471	Thick vermilion border
C3550430	Eclabion	HPO	HP:0012472	Eclabion
C0241423	Atrophy of tongue	HPO	HP:0012473	Tongue atrophy
C0426494	Wasting of tongue	HPO	HP:0012473	Tongue atrophy
C0265101	Carotid artery occlusion	HPO	HP:0012474	Carotid artery occlusion
C0026975	Myelitis	HPO	HP:0012486	Myelitis
C0030326	Panniculitis	HPO	HP:0012490	Panniculitis
C1504438	Cerebral artery stenosis	HPO	HP:0012492	Cerebral artery stenosis
C0405124	Nuchal Cord	HPO	HP:0012498	Nuchal cord
C4022878	Descending aortic dissection	HPO	HP:0012499	Descending aortic dissection
C0032002	Pituitary Diseases	HPO	HP:0012503	Abnormality of the pituitary gland
C4022874	Abnormal size of pituitary gland	HPO	HP:0012504	Abnormal size of pituitary gland
C0342422	Pituitary gland enlarged	HPO	HP:0012505	Enlarged pituitary gland
C4022873	Small pituitary gland	HPO	HP:0012506	Small pituitary gland
C0271185	Metamorphopsia	HPO	HP:0012508	Metamorphopsia
C0023222	Pain in lower limb	HPO	HP:0012514	Lower limb pain
C3279725	Weakness of hip flexors	HPO	HP:0012515	Hip flexor weakness
C0344882	Tetralogy of Fallot with pulmonary atresia	HPO	HP:0012516	Tetralogy of Fallot with pulmonary atresia
C4022869	Reduced catalase activity	HPO	HP:0012517	Reduced catalase activity
C4021084	Optic nerve aplasia	HPO	HP:0012521	Optic nerve aplasia
C4022867	Spider hemangioma	HPO	HP:0012522	Spider hemangioma
C4022864	Absence of alpha granules	HPO	HP:0012526	Absence of alpha granules
C0030193	Pain	HPO	HP:0012531	Pain
C0150055	Chronic pain	HPO	HP:0012532	Chronic pain
C0392699	Dysesthesia	HPO	HP:0012534	Dysesthesias
C0149696	Food intolerance (disorder)	HPO	HP:0012537	Food intolerance
C0007570	Celiac Disease	HPO	HP:0012538	Gluten intolerance
C0850024	Gluten sensitivity	HPO	HP:0012538	Gluten intolerance
C0024305	Lymphoma, Non-Hodgkin	HPO	HP:0012539	Non-Hodgkin lymphoma
C0263536	Hypertrophy of nail	HPO	HP:0012542	Onychauxis
C4022858	Elevated aldolase level	HPO	HP:0012544	Elevated aldolase level
C4021082	Fatty replacement of skeletal muscle	HPO	HP:0012548	Fatty replacement of skeletal muscle
C4022852	Absent neutrophil specific granules	HPO	HP:0012551	Absent neutrophil specific granules
C4022850	Hypoplastic thumbnail	HPO	HP:0012553	Hypoplastic thumbnail
C4021081	Absent nail of hallux	HPO	HP:0012555	Absent nail of hallux
C4022848	EEG with centrotemporal focal spike waves	HPO	HP:0012557	EEG with centrotemporal focal spike waves
C4022846	Increased T3/T4 ratio	HPO	HP:0012559	Increased T3/T4 ratio
C4022845	Decreased T3/T4 ratio	HPO	HP:0012560	Decreased T3/T4 ratio
C0949173	Delayed menarche	HPO	HP:0012569	Delayed menarche
C0039101	synovial sarcoma	HPO	HP:0012570	Synovial sarcoma
C0221365	Double ureter	HPO	HP:0012572	Ureter duplex
C3276821	Thin glomerular basement membrane	HPO	HP:0012577	Thin glomerular basement membrane
C0017665	Membranous glomerulonephritis	HPO	HP:0012578	Membranous nephropathy
C0027721	Lipoid nephrosis	HPO	HP:0012579	Minimal change glomerulonephritis
C0268800	Simple renal cyst	HPO	HP:0012581	Simple kidney cyst
C0431692	Bilateral renal hypoplasia	HPO	HP:0012584	Bilateral renal hypoplasia
C0341698	Atrophy of kidney	HPO	HP:0012585	Renal atrophy
C0403397	Steroid-resistant nephrotic syndrome	HPO	HP:0012588	Steroid-resistant nephrotic syndrome
C0001925	Albuminuria	HPO	HP:0012592	Albuminuria
C0730345	Microalbuminuria	HPO	HP:0012594	Microalbuminuria
C1654921	High urine albumin levels	HPO	HP:0012594	Microalbuminuria
C4022829	Abnormal urine potassium concentration	HPO	HP:0012598	Abnormal urine potassium concentration
C3671887	Sodium concentration in urine above normal	HPO	HP:0012605	Hypernatriuria
C2748576	Renal sodium wasting	HPO	HP:0012606	Renal sodium wasting
C2673443	Hypermagnesiuria	HPO	HP:0012608	Hypermagnesiuria
C0266225	Persistent cloaca	HPO	HP:0012621	Persistent cloaca
C0748318	Progressive renal failure	HPO	HP:0012622	Progressive renal failure
C1561643	Chronic Kidney Diseases	HPO	HP:0012622	Progressive renal failure
C2316401	Chronic kidney disease stage 1	HPO	HP:0012623	Stage 1 chronic kidney disease
C2316787	Chronic kidney disease stage 3	HPO	HP:0012625	Stage 3 chronic kidney disease
C2317473	Chronic kidney disease stage 4	HPO	HP:0012626	Stage 4 chronic kidney disease
C0035328	Retinal Vein Occlusion	HPO	HP:0012636	Retinal vein occlusion
C2673441	Renal calcium wasting	HPO	HP:0012637	Renal calcium wasting
C4022810	Abnormality of nervous system morphology	HPO	HP:0012639	Abnormality of nervous system morphology
C4022808	Cerebellar agenesis	HPO	HP:0012642	Cerebellar agenesis
C2675074	Enlarged peripheral nerves	HPO	HP:0012645	Enlarged peripheral nerves
C4022805	Abnormal inflammatory response	HPO	HP:0012647	Abnormal inflammatory response
C3279675	Polymicrogyria, perisylvian	HPO	HP:0012650	Perisylvian polymicrogyria
C0004099	Asthma, Exercise-Induced	HPO	HP:0012652	Exercise-induced asthma
C0038218	Status Asthmaticus	HPO	HP:0012653	Status Asthmaticus
C4022798	Abnormal brain FDG positron emission tomography	HPO	HP:0012658	Abnormal brain FDG positron emission tomography
C0042420	Vasovagal syncope	HPO	HP:0012668	Vasovagal syncope
C4021076	Iron accumulation in brain	HPO	HP:0012675	Iron accumulation in brain
C3553078	Agenesis of pineal gland	HPO	HP:0012687	Agenesis of pineal gland
C0232726	Rectal tenesmus	HPO	HP:0012702	Tenesmus
C4022756	Profound hearing impairment	HPO	HP:0012715	Profound hearing impairment
C0028433	Nose Neoplasms	HPO	HP:0012720	Neoplasm of the nose
C2937220	Congenital abnormality of vein	HPO	HP:0012721	Venous malformation
C0018794	Heart Block	HPO	HP:0012722	Heart block
C0037188	Sinoatrial Block	HPO	HP:0012723	Sinoatrial block
C2025988	Cellulitis of upper eyelid	HPO	HP:0012724	Upper eyelid edema
C3839407	Edema of upper eyelid	HPO	HP:0012724	Upper eyelid edema
C1861921	Cutaneous syndactyly	HPO	HP:0012725	Cutaneous syndactyly
C4022754	Episodic hypokalemia	HPO	HP:0012726	Episodic hypokalemia
C0162872	Aortic Aneurysm, Thoracic	HPO	HP:0012727	Thoracic aortic aneurysm
C0158663	Tongue absent	HPO	HP:0012730	Missing tongue
C3495676	Anorectal Malformations	HPO	HP:0012732	Anorectal anomaly
C0332573	Macule	HPO	HP:0012733	Macule
C0271713	Ketotic hypoglycemia	HPO	HP:0012734	Ketotic hypoglycemia
C0010200	Coughing	HPO	HP:0012735	Cough
C1855773	Psychomotor retardation, profound	HPO	HP:0012736	Psychomotor retardation, profound
C3553450	Profound global developmental delay	HPO	HP:0012736	Psychomotor retardation, profound
C1302645	Polyp of small intestine	HPO	HP:0012737	Small intestinal polyp
C0030354	Papilloma	HPO	HP:0012740	Papilloma
C0431664	Unilateral Cryptorchidism	HPO	HP:0012741	Unilateral cryptorchidism
C0311277	Obesity, Abdominal	HPO	HP:0012743	Abdominal obesity
C0423112	Short palpebral fissure	HPO	HP:0012745	Short palpebral fissure
C3554113	Thin toenails	HPO	HP:0012746	Thin toenails
C4022749	Abnormal brainstem MRI signal intensity	HPO	HP:0012747	Abnormal brainstem MRI signal intensity
C4022739	Abnormal neuron morphology	HPO	HP:0012757	Abnormal neuron morphology
C0013405	Dyspnea, Paroxysmal	HPO	HP:0012763	Paroxysmal dyspnea
C0004045	Asphyxia Neonatorum	HPO	HP:0012768	Neonatal asphyxia
C4022729	Increased arm span	HPO	HP:0012771	Increased arm span
C1836996	Marfanoid body habitus	HPO	HP:0012773	Reduced upper to lower segment ratio
C1844571	Increased upper to lower segment ratio	HPO	HP:0012774	Increased upper to lower segment ratio
C0524801	Retinal Neoplasms	HPO	HP:0012777	Retinal neoplasm
C4022725	Retinal astrocytic hamartoma	HPO	HP:0012778	Retinal astrocytic hamartoma
C0013449	Ear Neoplasms	HPO	HP:0012780	Neoplasm of the ear
C1319017	Nephrogenic rest, perilobar	HPO	HP:0012782	Perilobar nephrogenic rest
C1319016	Nephrogenic rest, intralobar	HPO	HP:0012783	Intralobar nephrogenic rest
C0581366	Recurrent cystitis	HPO	HP:0012786	Recurrent cystitis
C0748199	Recurrent pyelonephritis	HPO	HP:0012787	Recurrent pyelonephritis
C1852148	Reticulate pigmentation (oral mucosa)	HPO	HP:0012788	Reticulate pigmentation of oral mucosa
C3550873	Hypoplastic calcaneus	HPO	HP:0012789	Hypoplasia of the calcaneus
C3808249	Optic disc abnormalities	HPO	HP:0012795	Abnormality of the optic disc
C0238399	PULMONARY LYMPHANGIOMYOMATOSIS	HPO	HP:0012798	Lymphangioleiomyomatosis
C0751674	Lymphangioleiomyomatosis	HPO	HP:0012798	Lymphangioleiomyomatosis
C3281059	Broad jaw	HPO	HP:0012802	Broad jaw
C0003081	Anisometropia	HPO	HP:0012803	Anisometropia
C0010043	Corneal Ulcer	HPO	HP:0012804	Corneal ulceration
C0687082	Proboscis	HPO	HP:0012806	Proboscis
C1849667	Wide nasal base	HPO	HP:0012810	Wide nasal base
C4020718	Wide nasal ridge	HPO	HP:0012811	Broad nasal ridge
C1844722	Unilateral breast hypoplasia	HPO	HP:0012813	Unilateral breast hypoplasia
C4022716	Bilateral breast hypoplasia	HPO	HP:0012814	Bilateral breast hypoplasia
C4022715	Hypoplastic female external genitalia	HPO	HP:0012815	Hypoplastic female external genitalia
C1839832	Spongiform cardiomyopathy	HPO	HP:0012817	Noncompaction cardiomyopathy
C0027059	Myocarditis	HPO	HP:0012819	Myocarditis
C2146481	Bilateral vocal cord paralysis	HPO	HP:0012820	Bilateral vocal cord paralysis
C1860475	Tortuous retinal vessels	HPO	HP:0012841	Retinal vascular tortuosity
C0334263	Trichilemmoma	HPO	HP:0012844	Trichilemmoma
C0085543	Epilepsia Partialis Continua	HPO	HP:0012847	Epilepsia partialis continua
C2197691	Scrotal hypospadias	HPO	HP:0012853	Scrotal hypospadias
C4022707	Abnormal scrotal rugation	HPO	HP:0012856	Abnormal scrotal rugation
C0266361	True Hermaphroditism (disorder)	HPO	HP:0012861	Ovotestis
C0403824	Teratozoospermia	HPO	HP:0012864	Abnormal sperm morphology
C0266427	Testicular regression syndrome	HPO	HP:0012870	Testicular regression syndrome
C0042341	Varicocele	HPO	HP:0012871	Varicocele
C0266444	Congenital absence of vas deferens	HPO	HP:0012873	Absent vas deferens
C0403673	Retrograde ejaculation	HPO	HP:0012877	Retrograde ejaculation
C4022695	Abnormality of the labia majora	HPO	HP:0012881	Abnormality of the labia majora
C0473311	Hemorrhagic cyst of ovary	HPO	HP:0012886	Hemorrhagic ovarian cyst
C4022693	Posteriorly placed anus	HPO	HP:0012890	Posteriorly placed anus
C1868623	Handgrip myotonia	HPO	HP:0012899	Handgrip myotonia
C4072884	Ciliary body coloboma	HPO	HP:0020006	Ciliary body coloboma
C0343084	Capillary Leak Syndrome	HPO	HP:0030005	Systemic capillary leak syndrome
C1382398	Increased capillary permeability (finding)	HPO	HP:0030005	Systemic capillary leak syndrome
C0429349	EMG positive sharp waves	HPO	HP:0030007	EMG: Positive sharp waves
C0007871	Uterine Cervical Incompetence	HPO	HP:0030009	Cervical insufficiency
C0269209	Hydrometrocolpos	HPO	HP:0030010	Hydrometrocolpos
C0152436	Hymen, Imperforate	HPO	HP:0030011	Imperforate hymen
C1112442	Female sexual dysfunction	HPO	HP:0030014	Female sexual dysfunction
C1384606	Dyspareunia	HPO	HP:0030016	Dyspareunia
C4022676	Decreased female libido	HPO	HP:0030018	Decreased female libido
C4022675	Increased female libido	HPO	HP:0030019	Increased female libido
C3888103	Question mark ear	HPO	HP:0030022	Question mark ear
C3278307	Diffuse lamellation of the glomerular basement membrane	HPO	HP:0030034	Diffuse glomerular basement membrane lamellation
C1704356	Enchondroma	HPO	HP:0030038	Enchondroma
C0410632	Schmorl's nodes	HPO	HP:0030041	Schmorl's node
C0685678	Incomplete ossification of pubis	HPO	HP:0030042	Incomplete maturation of the public bone
C4015098	Hypoglycosylation of alpha-dystroglycan	HPO	HP:0030046	Hypoglycosylation of alpha-dystroglycan
C4022662	Abnormality of lateral ventricle	HPO	HP:0030047	Abnormality of lateral ventricle
C0431384	Colpocephaly	HPO	HP:0030048	Colpocephaly
C0006105	Brain Abscess	HPO	HP:0030049	Brain abscess
C0027404	Narcolepsy	HPO	HP:0030050	Narcolepsy
C1834297	Inguinal freckling	HPO	HP:0030052	Inguinal freckling
C3276815	Stiff skin	HPO	HP:0030053	Stiff skin
C2748531	Perifollicular fibrosis	HPO	HP:0030054	Perifollicular fibrosis
C1860607	Uncombable hair	HPO	HP:0030056	Uncombable hair
C0206093	Neuroectodermal Tumors	HPO	HP:0030061	Neuroectodermal neoplasm
C0010276	Craniopharyngioma	HPO	HP:0030062	Craniopharyngioma
C0206715	Neoplasms, Neuroepithelial	HPO	HP:0030063	Neuroepithelial neoplasm
C1622510	Neurocytoma	HPO	HP:0030064	Neurocytoma
C0206663	Neuroectodermal Tumor, Primitive	HPO	HP:0030065	Primitive neuroectodermal tumor
C0700367	Ependymoblastoma	HPO	HP:0030066	Ependymoblastoma
C0684337	Ewings sarcoma-primitive neuroectodermal tumor (PNET)	HPO	HP:0030067	Peripheral primitive neuroectodermal neoplasm
C0206717	Olfactory Neuroblastoma	HPO	HP:0030068	Olfactory esthesioneuroblastoma
C0280803	Primary central nervous system lymphoma	HPO	HP:0030069	Primary central nervous system lymphoma
C3887678	CPNET	HPO	HP:0030070	Central primitive neuroectodermal tumor
C0334596	Medulloepithelioma	HPO	HP:0030071	Medulloepithelioma
C0030470	Paranasal Sinus Neoplasms	HPO	HP:0030072	Tumor of the paranasal sinuses
C0031347	Pharyngeal Neoplasms	HPO	HP:0030073	obsolete Pharyngeal neoplasm
C0007279	Carotid Body Paraganglioma	HPO	HP:0030074	Chemodectoma
C0007124	Noninfiltrating Intraductal Carcinoma	HPO	HP:0030075	Ductal carcinoma in situ
C0279563	Lobular carcinoma in situ of breast	HPO	HP:0030076	Lobular carcinoma in situ
C0006264	Bronchial Neoplasms	HPO	HP:0030077	Bronchial neoplasm
C0152013	Adenocarcinoma of lung (disorder)	HPO	HP:0030078	Lung adenocarcinoma
C4048328	cervical cancer	HPO	HP:0030079	Cervix cancer
C0006413	Burkitt Lymphoma	HPO	HP:0030080	Burkitt lymphoma
C0240928	Salt craving	HPO	HP:0030083	Salt craving
C0265610	Congenital clinodactyly	HPO	HP:0030084	Curvature of digit
C4280304	Curvature of digit	HPO	HP:0030084	Curvature of digit
C0580454	Serum testosterone level abnormal	HPO	HP:0030087	Abnormal testosterone level
C4022654	Abnormal testosterone level	HPO	HP:0030087	Abnormal testosterone level
C0241358	Increased testosterone	HPO	HP:0030088	Increased testosterone
C4072885	Increased serum testosterone level	HPO	HP:0030088	Increased testosterone
C0014175	Endometriosis	HPO	HP:0030127	Endometriosis
C0018808	Heart murmur	HPO	HP:0030148	Heart murmur
C0036980	Shock, Cardiogenic	HPO	HP:0030149	Cardiogenic shock
C0008311	Cholangitis	HPO	HP:0030151	Cholangitis
C0005426	Biliary Tract Neoplasm	HPO	HP:0030152	obsolete Biliary tract neoplasm
C0206698	Cholangiocarcinoma	HPO	HP:0030153	Cholangiocarcinoma
C0016199	Flank Pain	HPO	HP:0030157	Flank pain
C0007855	Cervical polyp	HPO	HP:0030159	Cervical polyp
C0007873	Uterine Cervical Neoplasm	HPO	HP:0030159	Cervical polyp
C0007860	Uterine Cervicitis	HPO	HP:0030160	Cervicitis
C0028081	Night sweats	HPO	HP:0030166	Night sweats
C4022600	Peripheral amyelination	HPO	HP:0030172	Peripheral amyelination
C4020904	Myelin tomacula	HPO	HP:0030175	Myelin tomacula
C4021047	Impaired visually enhanced vestibulo-ocular reflex	HPO	HP:0030183	Impaired visually enhanced vestibulo-ocular reflex
C0234376	Action Tremor	HPO	HP:0030186	Kinetic tremor
C0270736	Essential Tremor	HPO	HP:0030186	Kinetic tremor
C0231690	Titubation	HPO	HP:0030187	Titubation
C4022588	Fatigable weakness of swallowing muscles	HPO	HP:0030195	Fatigable weakness of swallowing muscles
C4022587	Fatigable weakness of respiratory muscles	HPO	HP:0030196	Fatigable weakness of respiratory muscles
C4022576	Slow pupillary light response	HPO	HP:0030211	Slow pupillary light response
C0424290	Compulsive hoarding	HPO	HP:0030212	Collectionism
C0312420	Hypersexuality state	HPO	HP:0030214	Hypersexuality
C0679145	sexual addiction	HPO	HP:0030214	Hypersexuality
C0860609	Inappropriate crying	HPO	HP:0030215	Inappropriate crying
C4022575	Inertia	HPO	HP:0030216	Inertia
C4022574	Limb apraxia	HPO	HP:0030217	Limb apraxia
C0338462	Semantic Dementia	HPO	HP:0030219	Semantic dementia
C0234502	Visual Agnosia	HPO	HP:0030222	Visual agnosia
C4022565	Highly elevated creatine phosphokinase	HPO	HP:0030234	Highly elevated creatine phosphokinase
C0239831	Hand muscle weakness	HPO	HP:0030237	Hand muscle weakness
C0155773	Portal vein thrombosis	HPO	HP:0030242	Portal vein thrombosis
C0019154	Hepatic Vein Thrombosis	HPO	HP:0030243	Hepatic vein thrombosis
C3829514	Intrapartum Pyrexia	HPO	HP:0030245	Intrapartum fever
C4022560	Splanchnic vein thrombosis	HPO	HP:0030247	Splanchnic vein thrombosis
C4022557	Defective T cell proliferation	HPO	HP:0030253	Defective T cell proliferation
C4020713	Penile melanosis	HPO	HP:0030258	Penile melanosis
C4022554	Hyperpigmented genitalia	HPO	HP:0030258	Penile melanosis
C0240701	Small penis	HPO	HP:0030260	Microphallus
C2676198	Increased serum IGF1	HPO	HP:0030269	Increased serum insulin-like growth factor 1 {comment=HPO:probinson}
C4022547	Elevated red cell adenosine deaminase activity	HPO	HP:0030270	Elevated red cell adenosine deaminase activity
C4022546	Reduced erythrocyte 2,3-diphosphoglycerate concentration	HPO	HP:0030271	Reduced erythrocyte 2,3-diphosphoglycerate concentration
C4022544	Reduced red cell adenosine deaminase activity	HPO	HP:0030273	Reduced red cell adenosine deaminase activity
C0431659	Hypoplasia of scrotum	HPO	HP:0030276	Small scrotum
C4022524	Hypoplastic anterior commissure	HPO	HP:0030303	Hypoplastic anterior commissure
C1409412	Periostosis	HPO	HP:0030314	Periostosis
C0221237	Angular cheilitis	HPO	HP:0030318	Angular cheilitis
C4022514	Weakness of facial musculature	HPO	HP:0030319	Weakness of facial musculature
C4022507	Decreased osteoclast count	HPO	HP:0030328	Decreased osteoclast count
C3549703	Retinal thinning	HPO	HP:0030329	Retinal thinning
C4022506	Multinucleated giant chondrocytes in epiphyseal cartilage	HPO	HP:0030330	Multinucleated giant chondrocytes in epiphyseal cartilage
C4072889	Decreased circulating follicle stimulating hormone level	HPO	HP:0030341	Decreased circulating follicle stimulating hormone level
C4072890	Decreased circulating luteinizing hormone level	HPO	HP:0030344	Decreased circulating luteinizing hormone level
C4072893	Increased circulating androgen level	HPO	HP:0030348	Increased circulating androgen level
C4072894	Decreased circulating androgen level	HPO	HP:0030349	Decreased circulating androgen level
C4072897	Decreased serum insulin-like growth factor 1	HPO	HP:0030353	Decreased serum insulin-like growth factor 1
C0149925	Small cell carcinoma of lung	HPO	HP:0030357	Small cell lung carcinoma
C0007131	Non-Small Cell Lung Carcinoma	HPO	HP:0030358	Non-small cell lung carcinoma
C0149782	Squamous cell carcinoma of lung	HPO	HP:0030359	Squamous cell lung carcinoma
C0345958	Large cell carcinoma of lung	HPO	HP:0030360	Large cell lung carcinoma
C4072902	Reduced muscle carnitine level	HPO	HP:0030362	Reduced muscle carnitine level
C4072907	Hyperphalangy of the 2nd finger	HPO	HP:0030368	Hyperphalangy of the 2nd finger
C4072908	Induced vaginal delivery	HPO	HP:0030369	Induced vaginal delivery
C4072928	Spoken Word Recognition Deficit	HPO	HP:0030391	Spoken Word Recognition Deficit
C0431109	Choroid Plexus Carcinoma	HPO	HP:0030392	Choroid plexus carcinoma
C2348239	Endolymphatic sac tumor	HPO	HP:0030393	Endolymphatic sac tumor
C0238122	Fallopian Tube Carcinoma	HPO	HP:0030394	Fallopian tube carcinoma
C1868263	Platelet Aggregation, Spontaneous	HPO	HP:0030403	Spontaneous platelet aggregation
C0017689	Glucagonoma	HPO	HP:0030404	Glucagonoma
C0242363	Islet Cell Tumor	HPO	HP:0030405	Pancreatic endocrine tumor
C1514428	Primary Peritoneal Carcinoma	HPO	HP:0030406	Primary peritoneal carcinoma
C0917890	Pineocytoma	HPO	HP:0030407	Pineocytoma
C0205898	pineoblastoma	HPO	HP:0030408	Pineoblastoma
C1319314	Transitional cell carcinoma of kidney	HPO	HP:0030409	Renal transitional cell carcinoma
C0206684	Sebaceous Adenocarcinoma	HPO	HP:0030410	Sebaceous gland carcinoma
C0349566	Squamous cell carcinoma of tongue	HPO	HP:0030413	Squamous cell carcinoma of the tongue
C0042995	Vulvar Neoplasms	HPO	HP:0030416	Vulvar neoplasm
C0280856	Squamous cell carcinoma of vulva	HPO	HP:0030417	Squamous cell carcinoma of the vulva
C0037859	Spermatocele	HPO	HP:0030424	Epididymal cyst
C0206640	Ossifying Fibroma	HPO	HP:0030426	Ossifying fibroma
C4072940	Ossifying fibroma of the jaw	HPO	HP:0030427	Ossifying fibroma of the jaw
C1367536	Nasopharyngeal Angiofibroma	HPO	HP:0030429	Juvenile nasopharyngeal angiofibroma
C0027858	Neuroma	HPO	HP:0030430	Neuroma
C0029423	Cartilaginous exostosis	HPO	HP:0030431	Osteochondroma
C0008441	Chondroblastoma	HPO	HP:0030432	Chondroblastoma
C0029441	Osteoid osteoma	HPO	HP:0030433	Osteoid osteoma
C0206711	Pilomatrixoma	HPO	HP:0030434	Pilomatrixoma
C0346011	Fibrofolliculoma	HPO	HP:0030436	Fibrofolliculoma
