accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000387.v1.p1","Geisinger eMERGE - Abdominal Aortic Aneurysm Project (AAAP)","A large research cohort of Geisinger Abdominal Aortic Aneurysm (AAA) patients was created by enrolling and consenting patients of the Geisinger Department of Vascular Surgery. Consented patients provide blood,  serum and DNA samples for research and authorize use of data in their medical record for research. They also complete a data questionnaire that asks","Abdominal Aortic Aneurysms","Case-Control","HumanOmniExpress-12v1_C","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 28 variables, 1 molecular datasets, 910 subjects, 943 samples","European (908), Hispanic2 (1)","NHGRI","HR_GC_AAA --- Health research - geisinger clinic - aaa","2011-12-19","2012-12-19","Not Provided"
"phs000416.v1.p1","Genetics of Cerebral Hemorrhage with Anticoagulation (GOCHA)","This is a prospective, longitudinal cohort study of spontaneous ICH. Subjects were recruited from among consecutive patients 55 years old who presented with primary hemorrhage to the Massachusetts General  Hospital or one of our off-site collaborators from 1999 to 2010. Potential subjects were identified by screening lists of all admissions to the","Intracranial Hemorrhage","Case-Control","HumanHap550_v3","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 47 variables, 5 documents, 1 molecular datasets, 1741 subjects, 1763 samples","European (1667), African (7), East Asian (4), African American (27), Hispanic1 (13), Hispanic2 (7), Other Asian or Pacific Islander (1), South Asian (1), Other (14)","NINDS","ICHRD --- Intracerebral hemorrhage or related neurological disorders","2013-04-03","2013-04-03","Amyloid Angiopathy, Cerebral; Angiopathy, Cerebral Amyloid; Angiopathy, Congophilic; CAA - Cerebral amyloid angiopathy; Cerebral Amyloid Angiopathies; Congophilic Angiopathies"
"phs000417.v2.p1","BrainCloud: Data from Human Postmortem Brain Across the Lifespan","This study explores the temporal dynamics and genetic control of transcription and DNA methylation in the human dorsolateral prefrontal cortex in postmortem tissue. This study examines 269 subjects for  gene expression (version 1) and 108 subjects for DNA methylation (version 2). The subjects are normal controls without neuropathological and","Aging","Case-Control","Human1M-Duov3_B, HumanHap650Yv3, Human1M-Duov3","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 21 variables, 2 molecular datasets, 270 subjects, 270 samples","European (110), East Asian (3), African American (148), Hispanic1 (1), Hispanic2 (5), Other Asian or Pacific Islander (1), South Asian (2)","NIMH","GRU --- General research use","2012-02-02","2012-02-02","Aging, Biological; Biological Aging"
"phs000423.v1.p1","GWAS for Early Onset Coronary Disease (ADVANCE)","ADVANCE (Atherosclerotic Disease, VAscular functioN, and genetiC Epidemiology) is a large epidemiological study of genetic and non-genetic determinants of coronary artery disease (CAD) that started in 2000 as a  collaborative effort between researchers at Stanford University and Kaiser Permanente of Northern California. The overarching goal of the study is to","Coronary Disease","Case-Control","Not Provided","Not Applicable","Not Provided","1 analyses","","NHLBI","NPU --- Non profit research use","2012-03-09","","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000428.v2.p2","Health and Retirement Study (HRS)","Introduction to V2: This data release comprises data from the V1 release combined with approximately 3,000 additional samples, collected during the HRS 2010 field period. The 2010 data include  samples from a random half of the new cohort enrolled in 2010 along with a significant expansion of the minority sample. Description: The University","Aging","Prospective Longitudinal Cohort","HumanOmni2.5-4v1_D, 1000G_ref_panel, HumanOmni2.5-8v1_C, HumanOmni2.5-4v1_D, HumanOmni2.5-8v1_C","Not Applicable","SNP Genotypes (Array), SNP/CNV Genotypes (imputed)","5 phenotype datasets, 25 variables, 4 molecular datasets, 15620 subjects, 16508 samples","European (11124), African (145), East Asian (94), African American (2425), Hispanic1 (216), Hispanic2 (1394), Other Asian or Pacific Islander (58), South Asian (58), Other (106)","NIA","NPR --- Non-profit research use only","2017-02-02","2017-02-02","Aging, Biological; Biological Aging; AI - Alcohol intake; Alcohol Consumption; Alcohol Drinking; Alcoholic drink intake"
"phs000439.v1.p1","PGRN-RIKEN: Rate Control Therapy in Patients with Atrial Fibrillation","The goal of this study was to identify genetic predictors of response to rate control therapy in patients with AF. We conducted a genome-wide association study (GWAS) focusing on  subjects with a history of atrial fibrillation. Rate control therapy for AF uses a range of drugs (beta-adrenergic receptor blockers, calcium channel","Atrial Fibrillation","Case-Control","Human610-Quadv1_B","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 17 variables, 1 molecular datasets, 1888 subjects, 1888 samples","European (1743), African (5), East Asian (3), African American (110), Hispanic1 (10), Hispanic2 (9), Other Asian or Pacific Islander (3), South Asian (3), Other (2)","NHLBI","HMB --- Health/medical/biomedical","2012-09-05","2013-09-05","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs000442.v1.p1","Drug Resistant Hypertension in African Americans' Exome","Resistant hypertension is defined as blood pressure that remains above goal in spite of the concurrent use of 3 antihypertensive agents of different classes or the concurrent use of  4 or more antihypertensive agents regardless of control. Its diagnosis is important for the identification of patients who are at high risk of having","Hypertension","Case-Control","exome_vcf_grc37","Not Applicable","SNP Genotypes (NGS), WXS","4 phenotype datasets, 27 variables, 1 molecular datasets,  SRA, 91 subjects, 91 samples","","NHLBI","GRU --- General research use","2012-04-12","2013-04-12","Arterial hypertension; BP - High blood pressure; BP+ - Hypertension; Blood Pressure, High; Blood Pressures, High; Elevated blood pressure"
"phs000456.v1.p1","Risk Assessment of Cerebrovascular Events (RACE) Study","This study includes 1,220 cases with young onset stroke (stroke before age 60 years) who are participants of the larger RACE study. Risk Assessment of Cerebrovascular Events (RACE) is  an on-going existing case-control study of stroke now involving over 5000 imaging confirmed cases of stroke and 5000 controls, recruited from seven","Stroke","Case-Control","Human660W-Quad_v1_A, 1000G_ref_panel","Not Applicable","SNP Genotypes (Array), SNP Genotypes (imputed)","6 phenotype datasets, 39 variables, 3 documents, 2 molecular datasets, 2627 subjects, 2632 samples","European (4), African American (4), Hispanic1 (14), Other Asian or Pacific Islander (2), South Asian (2427), Other (42)","NHGRI","GRU --- General research use","2012-05-08","2013-05-08","Anterior Cerebral Circulation Infarction; Infarction, Anterior Cerebral Circulation; Apoplexy; Apoplexy, Cerebrovascular; Brain Vascular Accident; Brain Vascular Accidents"
"phs000511.v1.p1","Treatment of Genetic Screening of Hypertriglyceridemia type I, III, and V    - HTG Amsterdam","This is a cohort of patients with extreme hypertriglyceridemia. Patients have been screened for loss of function mutations in LPL, GPIHBP1, APOC2, APOA5 and LMF1.","Hypertriglyceridemia","Mendelian","exome_vcf_grc37","Not Applicable","SNP Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets,  SRA, 48 subjects, 48 samples","","NHGRI","HTG --- Hypertriglyceridemia type i, iii, and v","2012-10-01","2012-10-01","Not Provided"
"phs000512.v1.p1","Genetics of High HDL Cholesterol","We have assembled what we believe to be the largest cohort in the world ascertained specifically based on the phenotypes of extremely low or high HDL-Cholesterol (HDL-C). Several years  ago, we initiated a protocol at the University of Pennsylvania to recruit subjects with extremely low or high levels of HDL-C with the primary goal","Lipoproteins, HDL","Mendelian","exome_vcf_grc37","Not Applicable","SNP Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets,  SRA, 97 subjects, 97 samples","","NHGRI","CD --- Cardiovascular disease","2012-10-19","2012-10-19","HLD - Hyperlipidemia; Hyperlipemia; Hyperlipemias; Hyperlipidemias; Lipidemia; HDL Cholesterol, Low Serum"
"phs000514.v1.p1","Identification of Genes Involved in Familial Coronary Artery Disease","Studying families with multiple cases of coronary artery disease (CAD) or with early onset CAD in order to identify new genes involved in CAD in an autosomal dominant manner.  After identifying these genes in families that pass on CAD in Mendelian inheritance, we want to pursue their role in the pathogenesis of CAD and","Coronary Artery Disease","Mendelian","exome_vcf_grc37","Not Applicable","SNP Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets,  SRA, 19 subjects, 19 samples","","NHGRI","GRU --- General research use","2012-10-25","2012-10-25","Atherogenesis; Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery"
"phs000546.v1.p1","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (ISGS)","The NHLBI ""Grand Opportunity"" Exome Sequencing Project (GO-ESP), a signature project of the NHLBI Recovery Act investment, was designed to identify genetic variants in coding regions (exons) of the  human genome (the ""exome"") that are associated with heart, lung and blood diseases. These and related diseases that are of high impact to public","Stroke","Case-Control","exome_vcf_grc37, exome_vcf_ESP6800","Not Applicable","SNP Genotypes (NGS), SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 36 variables, 2 molecular datasets, 75 subjects, 75 samples","","NHLBI","DS-STK-IRB-RD --- NULL","2013-07-10","2013-10-10","Brain Ischemias; Brain ischemia; Cerebrovascular ischemia; Encephalopathy, Ischemic; Ischemia, Brain; Ischemic Encephalopathies"
"phs000548.v1.p1","Aspirin Pharmacogenomics","The study protocol for both cohorts has been previously described (Journal of Thrombosis and Thrombolysis 2012:1-12). HV1 cohort: Briefly 50 healthy volunteers were exposed to two weeks of 325mg/day  aspirin after which whole blood RNA was collected in PAXgene tubes and profiled by microarray before and after aspirin exposure. The pre-aspirin","Aspirin","Interventional","Affy_expression_Human_Genome_U133_Plus2_0","Not Applicable","mRNA Expression (Array)","5 phenotype datasets, 14 variables, 1 molecular datasets, 104 subjects, 201 samples","","NIGMS","ASP --- Aspirin-related research","2013-07-10","2014-07-10",""
"phs000551.v1.p1","Gene expression in CAD","Case control cohort: The details have been previously published: American Heart Journal. 2010;160:371-379 e372. Briefly, a nested case:control cohort of CATHGEN participants who had experienced death or MI (n  250) after their index catheterization and age-, sex-, and race-matched controls (n 250) who were free of death/MI 2 years after cardiac","Cardiovascular Diseases","Case-Control","Affy_expression_Human_Genome_U133_Plus2_0","Not Applicable","mRNA Expression (Array)","4 phenotype datasets, 22 variables, 1 molecular datasets, 594 subjects, 638 samples","","NIGMS","DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2012-11-19","2013-05-19","Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery; Atherosclerosis of native coronary artery"
"phs000580.v1.p1","PAGE: CALiCo: Strong Heart Study (SHS)","The SHS is a study of cardiovascular disease and its risk factors among American Indian men and women. Using standardized methodology, it was designed to estimate cardiovascular disease mortality  and morbidity and the prevalence of known and suspected cardiovascular disease risk factors and to assess the significance of these risk factors in a","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","2 analyses","","NHGRI","HMB --- Health/medical/biomedical","2013-06-12","","C Reactive Protein; C-Reactive Protein; CRP - C-reactive protein; Protein, C-Reactive; Proteins, specific or class, C-reactive; Cholesterol, HDL2"
"phs000581.v1.p1","NHLBI GO-ESP: Family Studies (Dilated Cardiomyopathy)","The NHLBI ""Grand Opportunity"" Exome Sequencing Project (GO-ESP), a signature project of the NHLBI Recovery Act investment, was designed to identify genetic variants in coding regions (exons) of the  human genome (the ""exome"") that are associated with heart, lung and blood diseases. These and related diseases that are of high impact to public","Cardiomyopathy, Dilated","Case Set","exome_vcf_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","5 phenotype datasets, 23 variables, 1 molecular datasets,  SRA, 49 subjects, 48 samples","","NHLBI","DS-FDC --- Disease specific (familial dilated cardiomyopathy)","2013-06-11","2013-09-11","1As, Dilated cardiomyopathy; CARDIOMYOPATHY, CONGESTIVE; CARDIOMYOPATHY, DILATED, WITH CONDUCTION DEFECT 1; CARDIOMYOPATHY, FAMILIAL IDIOPATHIC; CARDIOMYOPATHY, IDIOPATHIC DILATED; CDCD1"
"phs000585.v2.p1","International Consortium for Blood Pressure (ICBP)","The ICBP consortium is an international effort to investigate blood-pressure genetics. The consortium was formed by two parent consortia, the CHARGE-BP consortium (Cohorts for Heart and Aging Research in  Genomic Epidemiology - blood pressure) and the GBPGEN consortium (Global Blood Pressure Genetics Consortium). In 2011 we performed genome-wide","Hypertension","Metagenomics","Not Provided","Not Applicable","Not Provided","6 analyses","","NHLBI","GRU-IRB --- General research use (irb)","2016-10-26","2016-10-26","DAP - Diastolic arterial pressure; DBP - Diastolic blood pressure; Diastolic Pressure; Diastolic arterial pressure; Pressure, Diastolic; Arterial hypertension"
"phs000606.v1.p1","HIT after Cardiac Bypass","The purpose of this study is to determine how often heart surgery patients who receive heparin develop an immune response (heparin-induced thrombocytopenia) that leads to clots forming in different  parts of the body. These clots usually occur in the legs (deep venous thrombosis or DVT) or lungs (pulmonary embolism or PE) or cause heart attacks","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","11 phenotype datasets, 626 variables, 14 documents, 1051 subjects","","NCATS","GRU-IRB-PUB --- General research use (irb, pub)","2018-03-16","2018-03-16","Cardiac infarction; Cardiovascular Stroke; Cardiovascular Strokes; Heart Attack; Infarct, Myocardial; Infarction of heart"
"phs000615.v1.p1","NINDS Stroke Genetics Network (SiGN)","The NINDS Stroke Genetics Network (SiGN) is a large international collaboration designed to detect genetic variants that predispose to subtypes of ischemic stroke. The study implements a genome wide  association study (GWAS) methodology with all stroke cases undergoing phenotypic and stroke-subtype classification using the same web-based Causative","Cerebral infarction","Case-Control","HumanOmni5Exome-4v1_A","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 31 variables, 1 molecular datasets, 11187 subjects, 11579 samples","European (9187), African (80), East Asian (2), African American (1057), Hispanic1 (176), Hispanic2 (453), Other Asian or Pacific Islander (4), South Asian (7), Other (118)","NINDS","DS-STK-NPU --- Disease-specific (stroke, npu) , GRU-NPU --- General research use (npu)","2014-09-29","2015-09-29","Cerebral Infarction, Left Hemisphere; Cerebral, Left Hemisphere, Infarction; Infarction, Cerebral, Left Hemisphere; Infarction, Left Hemisphere, Cerebral; Left Hemisphere, Cerebral Infarction; Left Hemisphere, Infarction, Cerebral"
"phs000618.v1.p1","Hypertriglyceridemia Study in Mexicans","Coronary artery disease (CAD) is the number one cause of death and mortality world-wide. High levels of serum triglycerides (TGs) and low levels of serum high-density lipoprotein cholesterol (HDL-C)  are major risk factors for CAD. Previous epidemiological studies have shown that these two lipid disturbances are highly common dyslipidemias in","Hypertriglyceridemia","Case-Control","Human610-Quadv1_B","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 18 variables, 4 analyses, 1 molecular datasets, 4350 subjects, 4350 samples","European (26), Hispanic1 (1), Hispanic2 (2188), Other Asian or Pacific Islander (1), Other (13)","NHLBI","DS-HTG-MDS-RD --- Disease-specific (hypertriglyceridemia, mds, rd)","2013-10-25","2013-10-25","Not Provided"
"phs000636.v1.p1","Whole Exome Sequencing for Familial Intracranial Aneurysm (FIA I-II)    Study","The goal of this study is to identify the genes underlying the risk of intracranial aneurysm (IA). The FIA Study initially recruited families appropriate for linkage analysis. Therefore, the  recruitment focus was not only on probands with a family history of IA but also required that biological samples be obtained for at least two","Intracranial Aneurysm","Family/Twin/Trios","exome_vcf_grc37","Not Applicable","SNP Genotypes (NGS), WXS","5 phenotype datasets, 32 variables, 1 molecular datasets,  SRA, 45 subjects, 45 samples","","NINDS","GRU --- General research use","2013-08-22","2014-01-22","Aneurysm, Middle Cerebral Artery; Middle Cerebral Artery Aneurysm; Apoplexy; Apoplexy, Cerebrovascular; Brain Vascular Accident; Brain Vascular Accidents"
"phs000649.v1.p1","Pharmacogenomic Evaluation of Antihypertensive Responses (PEAR)","This is a prospective, multicenter, randomized, open-label, parallel-group study to evaluate pharmacogenomic responses to antihypertensives. The primary aim of this study is to identify the genetic determinants of antihypertensive  and adverse metabolic responses focused on two preferred and pharmacodynamically contrasting drugs, a beta-blocker (atenolol) and a thiazide diuretic","Hypertension","Prospective Longitudinal Cohort","HapMap_Phase3","Not Applicable","SNP Genotypes (imputed)","4 phenotype datasets, 81 variables, 2 analyses, 1 molecular datasets, 230 subjects, 228 samples","European (219), East Asian (2), Hispanic2 (4), Other Asian or Pacific Islander (2), South Asian (1)","NIGMS","PEAR --- All pear patients","2016-04-01","2016-04-01","Arterial hypertension; BP - High blood pressure; BP+ - Hypertension; Blood Pressure, High; Blood Pressures, High; Elevated blood pressure"
"phs000758.v1.p1","Family Genomics of Congenital Heart Defects","The study identified the causal mutation in a five-generation pedigree harboring a cardiac septal defect. The inheritance pattern is consistent with an autosomal dominant mutation with high penetrance. We  performed whole-genome sequencing (Complete Genomics) on 21 individuals in the pedigree, of which 11 individuals are affected. We identified a single","Heart Septal Defects","Family/Twin/Trios","Mastervar_tsv","Not Applicable","SNP Genotypes (NGS)","5 phenotype datasets, 20 variables, 1 molecular datasets,  SRA, 28 subjects, 21 samples","","NHLBI","HMB --- Health/medical/biomedical","2014-10-07","2015-10-07","Abnormality of the cardiac septa; Cardiac Septal Defects; Congenital cardiac septal defect; Congenital heart defects, septal; Congenital septal defects; Defect, Heart Septal"
"phs000781.v1.p1","Children's Hospital of Philadelphia: GWAS of Left-Sided Cardiac Defects","This is a family-based genome-wide association study of congenital left-sided cardiac lesions (LSLs). Cases with LSLs and their parents were recruited from the Cardiac Center at The Children's Hospital  of Philadelphia between 1997 and 2010. The discovery dataset included 405 LSL case-parent triads. DNA was extracted from blood or saliva samples from","Heart Defects, Congenital","Family/Twin/Trios","Not Provided","Not Applicable","Not Provided","","","NHLBI","","","","Abnormalities, Heart; Abnormality of cardiac morphology; Abnormality of the heart; Abnormality, Heart; Cardiac abnormalities; Cardiac abnormality"
"phs000784.v2.p1","Genetic Epidemiology Network of Salt Sensitivity (GenSalt)","The GenSalt study is aimed at identifying novel genes which interact with the effect of dietary sodium and potassium intake or cold pressor on blood pressure.","Arterial Pressure, Mean","Interventional","Genome-Wide_Human_SNP_Array_6.0","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 22 variables, 1 molecular datasets, 1675 subjects, 1000 samples","East Asian (977), Other Asian or Pacific Islander (23)","NHLBI","GRU-IRB --- General research use (irb)","2016-12-12","2014-11-05","Arterial Pressures, Mean; MAP - Mean arterial pressure; MBP - Mean blood pressure; Mean Arterial Pressure; Mean Arterial Pressures; Pressure, Mean Arterial"
"phs000787.v1.p1","Immunosenescence: Immunity in the Young and Aged","The study sequenced TCRB gene rearrangements from young versus elderly human subjects.","Aging","Prospective Longitudinal Cohort","Not Provided","Not Applicable","AMPLICON","4 phenotype datasets, 14 variables, 9 subjects, 210 samples","","NIAID","HMB-IRB --- Health/medical/biomedical (irb)","2015-05-08","2016-01-08","Aging, Biological; Biological Aging"
"phs000814.v1.p1","MIGen_ExS: Italian Atherosclerosis Thrombosis and Vascular Biology","Italian Atherosclerosis Thrombosis and Vascular Biology study is a prospective, nationwide, case-control study involving 125 coronary care units in Italy. The cases were patients who were hospitalised for a  first MI before the age of 45 years and underwent coronary angiography. Acute MI was defined as resting chest pain lasting more than 30 minutes","Coronary Artery Disease","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets,  SRA, 3592 subjects, 3592 samples","","NHLBI","GRU --- General research use","2016-01-21","2016-01-21","Atherogenesis; Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery"
"phs000820.v1.p1","CCF AFIB GWAS study","Blood samples were taken from patients who have lone atrial fibrillation. DNA samples were processed with Illumina Hap550 and Hap 610 chips.","Atrial Fibrillation","Case Set","HumanHap550-2v3_B, Human610-Quadv1_B","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 14 variables, 1 molecular datasets, 543 subjects, 543 samples","European (529), East Asian (2), African American (7), Hispanic1 (1), Hispanic2 (4)","NHLBI","GRU --- General research use","2015-11-17","2015-11-17","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs000874.v1.p1","Genetic and Environmental Risk Factors for Hemorrhagic Stroke (GERFHS)","GERFHS is a population-based, case-control study of hemorrhagic stroke in the Greater Cincinnati/Northern Kentucky region. Cases are recruited from within 50 miles of the University of Cincinnati and population-based  controls are matched to cases by age (+/- 5 years), race and gender from the same population as cases. All study participants are of self-reported","Intracerebral Hemorrhage","Case-Control","Genome-Wide_Human_SNP_Array_6.0","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 24 variables, 1 molecular datasets,  SRA, 950 subjects, 950 samples","European (950)","NINDS","GRU-PUB --- General research use (pub)","2015-05-22","2015-05-22","Brain Hemorrhage, Cerebral; Brain Hemorrhages, Cerebral; Cerebral Brain Hemorrhage; Cerebral Brain Hemorrhages; Cerebral Hemorrhages; Cerebral Parenchymal Hemorrhage"
"phs000881.v1.p1","Children's Hospital of Philadelphia GWAS of Conotruncal Cardiac Defects","This is a family-based genome-wide association study of conotruncal and related cardiac malformations (CTDs). Cases with CTDs and their parents were recruited from the Cardiac Center at The Children's  Hospital of Philadelphia between 1992 and 2010. The discovery dataset included 750 CTD case-parent triads. DNA was extracted from blood or saliva","Heart Defects, Congenital","Family/Twin/Trios","Not Provided","Not Applicable","Not Provided","1 analyses","","NHLBI","","","","Double Outlet Right Ventricle, Noncommitted VSD; Double outlet right ventricle, noncommitted ventricular septal defect; Abnormalities, Heart; Abnormality of cardiac morphology; Abnormality of the heart; Abnormality, Heart"
"phs000883.v1.p1","MIGen_ExS: PROCARDIS","The Precocious Coronary Artery Disease (PROCARDIS) study is an international, multicenter case-control study aimed at discovering the genetic contributors to premature coronary artery disease. All exome sequencing was performed  at the Broad Institute of Harvard and MIT; samples sequence capture was performed using Agilent SureSelect Human All Exon Kit v2 and sequencing was","Coronary Artery Disease","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets, 2054 subjects, 2054 samples","","NHLBI","DS-HTD --- Disease-specific (heart disease)","2016-01-29","2016-01-29","Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery; Atherosclerosis of native coronary artery"
"phs000902.v1.p1","MIGen_ExS: Regicor","The Registre Gironi del Cor (REGICOR) study developed a nested case-control cohort from the Girona province in Spain in order to study genetic factors associated with the development of  coronary heart disease. All exome sequencing was performed at the Broad Institute of Harvard and MIT; samples sequence capture was performed using","Coronary Artery Disease","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets, 784 subjects, 784 samples","","NHLBI","DS-CVD --- Disease-specific (cardiovascular disease)","2016-01-21","2016-01-21","Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery; Atherosclerosis of native coronary artery"
"phs000916.v1.p1","MIGen_ExS: Munich-MI","The Munich-MI study is a case-control cohort study recruited at the German Heart Center in Munich, Germany. It is focused on understanding the genetic contributors to early myocardial-infarction (MI)  in the German population. All exome sequencing was performed at the Broad Institute of Harvard and MIT; samples sequence capture was performed using","Coronary Artery Disease","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets, 799 subjects, 799 samples","","NHLBI","DS-CVD-NPU --- Disease-specific (cardiovascular disease, npu)","2016-07-28","2016-07-28","Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery; Atherosclerosis of native coronary artery"
"phs000917.v1.p1","MIGen_ExS: PROMIS","The Pakistan Risk of Myocardial Infarction (PROMIS) study is a retrospective multicenter case-control cohort study of individuals with and without coronary heart disease from Pakistan. Multiple biological samples have  been collected from the participants including DNA, plasma, serum, and whole blood. The goal of the study is to recruit 20,000 cases and 20,000","Coronary Artery Disease","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets,  SRA, 7298 subjects, 7298 samples","","NHLBI","GRU --- General research use","2016-01-26","2016-01-26","Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery; Atherosclerosis of native coronary artery"
"phs000924.v2.p1","NextGen Consortium: The iPSCORE (iPSC Collection for Omic Research)    Resource","The iPSCORE Resource of human induced pluripotent stem cells (hiPSCs) was created as part of the Next-Gen Consortium funded by the NHLBI. The overarching purpose of the iPSCORE Resource  is to provide a large collection of hiPSCs for use in studying the impact of genetic variation on molecular and physiological phenotypes. This","Heart Diseases","Family/Twin/Trios","RNAseq_probe_set_grc37, RNAseq_gene_transcripts, HumanCoreExome-12v1-1_A, HumanCoreExome-24v1-0_A, HumanMethylation450, MEGA_Consortium_v2_15070954_A2","Not Applicable","ATAC-seq, Methylation (CpG), SNP Genotypes (Array), ChIP-Seq, RNA-Seq, RNA Seq expression levels","5 phenotype datasets, 63 variables, 1 documents, 5 molecular datasets,  SRA, 273 subjects, 1477 samples","European (145), East Asian (21), African American (4), Hispanic1 (3), Hispanic2 (10), Other Asian or Pacific Islander (20), South Asian (6), Other (15)","NHLBI","GRU --- General research use , DS-CMP-MDS --- Disease-specific (cardiomyopathy, mds) , DS-CMP-MD-MDS --- Disease-specific (cardiomyopathy and mitochondrial disease, mds)","","","Human Volunteer; Human Volunteers; Volunteer, Human; Volunteers, Human; Cardiac Disease; Cardiac Diseases"
"phs000925.v1.p1","PAGE: IPM BioMe Biobank","The Institute for Personalized Medicine (IPM) BioMe Biobank is a consented, EMR-linked medical care setting biorepository of the Mount Sinai Medical Center (MSMC) drawing from a population of over  70,000 inpatients and 800,000 outpatient visits annually. MSMC serves diverse local communities of upper Manhattan, including Central Harlem (86","Cardiovascular Diseases","Prospective Longitudinal Cohort","MEGA_Consortium_15063755_B2","Not Applicable","SNP Genotypes (Array), WGS","4 phenotype datasets, 21 variables, 1 molecular datasets, 13067 subjects, 13883 samples","European (308), African (509), East Asian (615), African American (5928), Hispanic1 (2720), Hispanic2 (1044), Other Asian or Pacific Islander (245), South Asian (695), Other (690)","NHGRI","GRU --- General research use","2017-03-29","2017-03-29","Cholesterol, HDL2; HDL cholesterol 2; HDL(2) Cholesterol; HDL2 Cholesterol; High density lipoprotein cholesterol subfraction 2; High density lipoprotein cholesterol, sub-fraction II"
"phs000930.v6.p1","CHARGE (Cohorts for Heart and Aging Research in Genomic Epidemiology)","GWAS have successfully identified genetic loci associated with a variety of conditions such as type 2 diabetes and coronary disease. The large number of statistical tests required in GWAS  has posed a special challenge because few studies that have DNA and high-quality phenotype data are sufficiently large to provide adequate","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","144 analyses, 1 molecular datasets","","NHLBI","GRU --- General research use","2018-04-03","2017-03-17","Brain Vascular Disorder; Brain Vascular Disorders; CVD - Cerebrovascular disease; Cerebrovascular Disease; Cerebrovascular Diseases; Cerebrovascular lesion"
